UF,MUNICIPIO_NORM,LEITOS_SUS,POPULAÇÃO ESTIMADA,LEITOS_TOTAL_PER_THOUSAND
PR,figueira,31,8129.0,3.8135071964571288
MA,afonso cunha,24,6303.0,3.8077106139933363
MT,arenapolis,41,10769.0,3.8072244405237257
PR,piraquara,484,127433.0,3.798074282171808
MA,grajau,291,76837.0,3.7872379192316203
GO,amorinopolis,11,2906.0,3.785271851342051
MS,paranaiba,161,42638.0,3.775974482855669
MG,itambacuri,80,21210.0,3.7718057520037718
SP,terra roxa,30,7965.0,3.766478342749529
SC,rio do campo,25,6638.0,3.766194636938837
BA,botupora,43,11427.0,3.763017414894548
PB,santa luzia,58,15418.0,3.7618368141133742
SC,quilombo,43,11433.0,3.761042595994052
PB,taperoa,54,14358.0,3.760969494358546
RS,santa barbara do sul,31,8269.0,3.748941830934817
BA,ubaitaba,67,17878.0,3.7476227765969345
GO,porteirao,16,4276.0,3.7418147801683816
RN,janduis,18,4813.0,3.7398711822148347
PR,rio azul,53,14174.0,3.7392408635529844
SP,pirajui,85,22734.0,3.738893287586874
SC,cunha pora,42,11242.0,3.7359900373599007
RO,cacaulandia,16,4292.0,3.727865796831314
MG,datas,21,5635.0,3.7267080745341614
TO,duere,16,4304.0,3.717472118959108
PA,ourilandia do norte,131,35252.0,3.716101214115511
PB,pocinhos,67,18038.0,3.7143807517463134
GO,alvorada do norte,32,8619.0,3.712727694628147
MG,virginopolis,39,10511.0,3.71039863000666
BA,ubaira,71,19142.0,3.709121303938982
RS,ametista do sul,29,7826.0,3.7055967288525427
RS,lavras do sul,27,7290.0,3.7037037037037037
PR,chopinzinho,80,21604.0,3.7030179596371045
GO,panama,9,2432.0,3.700657894736842
GO,alto horizonte,24,6487.0,3.6997071065207336
PR,diamante do norte,19,5139.0,3.6972173574625415
PI,sao raimundo nonato,152,41139.0,3.694790831084859
SC,campo belo do sul,27,7324.0,3.6865101037684327
MG,palma,21,5699.0,3.6848569924548165
AC,placido de castro,63,17107.0,3.6827029870813117
MT,apiacas,32,8693.0,3.681122742436443
BA,iguai,80,21763.0,3.6759637917566512
GO,turvelandia,19,5171.0,3.6743376522916265
RN,equador,20,5461.0,3.662332906061161
PB,monteiro,124,33886.0,3.6593283361860354
BA,saude,39,10661.0,3.6581934152518527
MG,sao sebastiao do paraiso,275,75179.0,3.657936391811543
PR,santa mariana,40,10941.0,3.655972945800201
RS,porto xavier,37,10127.0,3.6535992890293274
PR,rosario do ivai,20,5484.0,3.6469730123997084
RS,feliz,51,13994.0,3.644419036730027
PB,sume,65,17852.0,3.641048622003137
PE,lagoa do ouro,45,12367.0,3.6387159375758067
RN,lucrecia,13,3576.0,3.635346756152125
SC,vitor meireles,20,5507.0,3.6317414200108953
MA,nova iorque,16,4409.0,3.6289408029031525
RN,messias targino,16,4410.0,3.6281179138321997
MA,santa luzia do parua,90,24890.0,3.6159100040176777
PR,itambaraca,21,5819.0,3.6088675030073896
RS,segredo,22,6098.0,3.6077402427025254
BA,varzea do poco,30,8334.0,3.599712023038157
BA,santo antonio de jesus,395,109791.0,3.597744806040568
PA,brejo grande do araguaia,25,6966.0,3.5888601780074647
RS,porto alegre,4984,1388794.0,3.5887251817044143
PR,sao jorge do patrocinio,24,6690.0,3.587443946188341
PR,astorga,94,26203.0,3.5873754913559512
SP,registro,222,61927.0,3.5848660519644096
MG,manhumirim,75,20939.0,3.581832943311524
RS,constantina,38,10631.0,3.5744520741228483
CE,mucambo,50,13999.0,3.5716836916922636
RN,patu,40,11215.0,3.5666518056174765
SP,lins,274,76844.0,3.5656655041382543
MG,grao mogol,50,14037.0,3.562014675500463
CE,limoeiro do norte,223,62623.0,3.560991967807355
RJ,engenheiro paulo de frontin,45,12644.0,3.5590003163555837
TO,ponte alta do tocantins,28,7874.0,3.5560071120142243
PR,santo antonio da platina,162,45628.0,3.5504514771631452
GO,simolandia,20,5634.0,3.549875754348598
SC,palmitos,56,15781.0,3.54857106647234
PI,simoes,52,14664.0,3.5460992907801416
PR,santana do itarare,20,5646.0,3.5423308537017357
SC,lebon regis,41,11575.0,3.542116630669547
MG,central de minas,22,6213.0,3.5409624979880894
TO,divinopolis do tocantins,26,7343.0,3.540787144218984
BA,caem,38,10733.0,3.5404826236839653
SP,catanduva,422,119275.0,3.5380423391322573
MA,igarape grande,37,10461.0,3.5369467546123694
SP,nhandeara,35,9915.0,3.530005042864347
SC,ita,26,7370.0,3.5278154681139755
BA,aurelino leal,40,11339.0,3.527647940735515
PB,massaranduba,52,14756.0,3.5239902412577937
PR,terra boa,64,18168.0,3.522677234698371
PR,indianopolis,16,4544.0,3.5211267605633805
TO,araguacu,29,8242.0,3.518563455471973
MG,sao joao batista do gloria,28,7959.0,3.518029903254178
RS,estacao,20,5685.0,3.518029903254178
GO,doverlandia,24,6823.0,3.517514289901803
BA,lajedo do tabocal,27,7683.0,3.514252245216712
MG,recreio,40,11383.0,3.5140121233418253
MG,santa maria do suacui,45,12817.0,3.5109620035889835
PR,reboucas,52,14825.0,3.5075885328836423
RS,boa vista do burica,25,7129.0,3.506803198204517
GO,santa terezinha de goias,38,10837.0,3.5065054904493866
PA,abel figueiredo,22,6275.0,3.50597609561753
MT,porto dos gauchos,20,5705.0,3.5056967572304996
MG,muriae,380,108447.0,3.5040157865132273
RS,quinze de novembro,14,4003.0,3.497376967274544
GO,matrincha,14,4004.0,3.4965034965034967
MA,rosario,139,39761.0,3.4958879303840447
SP,pedregulho,55,15737.0,3.4949482112219608
MG,sabinopolis,50,14309.0,3.494304284017052
PA,capanema,263,75309.0,3.49227847933182
MG,rubim,37,10602.0,3.489907564610451
MG,laranjal,21,6018.0,3.489531405782652
SC,coronel freitas,37,10604.0,3.4892493398717463
MG,rio espera,19,5447.0,3.488158619423536
BA,miguel calmon,88,25263.0,3.4833551043027353
RO,castanheiras,12,3450.0,3.4782608695652177
SP,mirandopolis,100,28754.0,3.4777770049384436
SP,presidente prudente,816,234706.0,3.476689986621561
MA,sao luis,3786,1089215.0,3.4758977795935606
PR,turvo,49,14101.0,3.474930855967662
SC,nova trento,50,14395.0,3.4734282737061477
BA,irece,273,78781.0,3.4653025475685766
MG,resende costa,40,11544.0,3.465003465003465
MG,sao vicente de minas,24,6928.0,3.464203233256351
RS,gaurama,20,5779.0,3.4608063678837166
PR,santa izabel do oeste,50,14462.0,3.457336467985064
PR,borrazopolis,27,7818.0,3.4535686876438985
RN,triunfo potiguar,12,3477.0,3.4512510785159622
PA,rio maria,66,19190.0,3.439291297550808
PB,cajazeiras,229,66585.0,3.439213035969062
BA,riachao do jacuipe,121,35188.0,3.4386722746390816
MA,montes altos,32,9306.0,3.438641736514077
PR,godoy moreira,10,2911.0,3.4352456200618344
PB,patos,370,108104.0,3.422630059942278
BA,ichu,22,6428.0,3.422526446795271
PE,afogados da ingazeira,146,42672.0,3.4214473190851145
GO,nova crixas,45,13153.0,3.421272713449403
SC,caibi,22,6441.0,3.415618692749573
PR,guaraniacu,47,13770.0,3.413217138707335
RS,passo fundo,733,214811.0,3.412301977086835
MG,piedade do rio grande,16,4694.0,3.4086067319982956
RN,acari,37,10855.0,3.408567480423768
PB,sao mamede,26,7629.0,3.4080482369904312
GO,jaupaci,10,2939.0,3.402517863218782
RS,parobe,182,53569.0,3.397487352759992
MT,cotriguacu,34,10030.0,3.389830508474576
PB,bom sucesso,16,4720.0,3.389830508474576
MG,taiobeiras,117,34537.0,3.387671193213076
PR,cambara,79,23393.0,3.3770786132603767
PR,laranjeiras do sul,112,33179.0,3.3756291630248048
RO,porto velho,1747,517709.0,3.3744825761190165
MG,itaobim,65,19263.0,3.3743445984529927
ES,itarana,37,10975.0,3.37129840546697
PI,cristalandia do piaui,25,7431.0,3.364284753061499
GO,caturai,18,5352.0,3.36322869955157
ES,cachoeiro de itapemirim,667,198342.0,3.3628782607818817
ES,mucurici,19,5653.0,3.3610472315584645
MG,pecanha,60,17863.0,3.3588982813637127
TO,araguaina,614,183024.0,3.3547512894483784
MG,baependi,63,18782.0,3.35427537003514
AC,brasileia,94,28028.0,3.353789068074782
BA,ruy barbosa,99,29590.0,3.345724907063197
PI,sao joao do piaui,74,22137.0,3.3428197136016626
RN,piloes,10,2992.0,3.342245989304813
RS,sarandi,78,23374.0,3.3370411568409346
PR,pato bragado,20,6004.0,3.331112591605596
RN,natal,2609,784249.0,3.3267495400057894
PR,missal,38,11423.0,3.326621728092445
AL,capela,50,15051.0,3.322038402763936
GO,damianopolis,13,3917.0,3.3188664794485576
MG,virgem da lapa,39,11774.0,3.3123832172583656
MG,itanhandu,52,15751.0,3.3013776903053773
BA,itaberaba,224,68425.0,3.2736572890025575
MT,caceres,300,91767.0,3.2691490405047565
MG,alfenas,269,82303.0,3.2684106290171684
GO,itaruma,20,6124.0,3.2658393207054215
CE,baixio,19,5821.0,3.2640439786978184
PE,moreno,188,57654.0,3.2608318590210565
MA,colinas,136,41788.0,3.2545228295204365
SC,sao joao do oeste,21,6467.0,3.2472552961187566
MG,brasilia de minas,108,33262.0,3.246948469725212
PR,lupionopolis,16,4929.0,3.2460945425035503
MG,ilicinea,43,13248.0,3.2457729468599035
PI,guadalupe,34,10480.0,3.2442748091603053
MG,tarumirim,49,15104.0,3.2441737288135593
GO,neropolis,111,34273.0,3.238701018294284
MG,aguas formosas,61,18850.0,3.236074270557029
RN,luis gomes,30,9271.0,3.23589688275267
BA,itagimirim,21,6490.0,3.235747303543914
GO,americano do brasil,17,5260.0,3.2319391634980987
MG,barbacena,419,129695.0,3.2306565403446545
BA,jaborandi,31,9600.0,3.2291666666666665
RN,mossoro,899,278587.0,3.226999106203807
PB,sao jose de caiana,16,4966.0,3.2219089810712846
RS,coronel bicaco,20,6214.0,3.2185387833923396
RS,estrela,107,33263.0,3.216787421459279
